 INFO  Accepting connections at http://localhost:3000
 HTTP  04/01/2025 14:12:31 172.20.10.11 GET /
 HTTP  04/01/2025 14:12:31 172.20.10.11 Returned 200 in 53 ms
 HTTP  04/01/2025 14:12:31 172.20.10.11 GET /static/js/main.ba439937.js
 HTTP  04/01/2025 14:12:31 172.20.10.11 Returned 200 in 14 ms
 HTTP  04/01/2025 14:12:31 172.20.10.11 GET /static/css/main.b81fdd7b.css
 HTTP  04/01/2025 14:12:31 172.20.10.11 Returned 200 in 12 ms
 HTTP  04/01/2025 14:12:31 172.20.10.11 GET /logo192.png
 HTTP  04/01/2025 14:12:31 172.20.10.11 GET /favicon.ico
 HTTP  04/01/2025 14:12:31 172.20.10.11 Returned 200 in 14 ms
 HTTP  04/01/2025 14:12:31 172.20.10.11 Returned 200 in 13 ms
 HTTP  04/01/2025 14:12:53 172.20.10.11 GET /assets/light_off.jpg
 HTTP  04/01/2025 14:12:53 172.20.10.11 Returned 200 in 1066 ms
 HTTP  04/01/2025 14:12:54 172.20.10.11 GET /assets/light_off.jpg
 HTTP  04/01/2025 14:12:54 172.20.10.11 Returned 304 in 26 ms
 HTTP  04/01/2025 14:12:54 172.20.10.11 GET /assets/light_on.jpg
 HTTP  04/01/2025 14:12:54 172.20.10.11 Returned 200 in 6 ms
 HTTP  04/01/2025 14:12:54 172.20.10.3 GET /dashboard
 HTTP  04/01/2025 14:12:54 172.20.10.3 Returned 200 in 6 ms
 HTTP  04/01/2025 14:12:55 172.20.10.3 GET /static/js/main.ba439937.js
 HTTP  04/01/2025 14:12:55 172.20.10.3 Returned 200 in 5 ms
 HTTP  04/01/2025 14:12:55 172.20.10.3 GET /static/css/main.b81fdd7b.css
 HTTP  04/01/2025 14:12:55 172.20.10.3 Returned 304 in 4 ms
 HTTP  04/01/2025 14:12:55 172.20.10.3 GET /assets/light_off.jpg
 HTTP  04/01/2025 14:12:55 172.20.10.3 Returned 200 in 4 ms
 HTTP  04/01/2025 14:12:55 172.20.10.3 GET /favicon.ico
 HTTP  04/01/2025 14:12:55 172.20.10.3 Returned 200 in 5 ms
 HTTP  04/01/2025 14:12:55 172.20.10.3 GET /logo192.png
 HTTP  04/01/2025 14:12:55 172.20.10.3 Returned 304 in 2 ms
