 INFO  Accepting connections at http://localhost:3000
 HTTP  04/01/2025 12:36:30 172.20.10.3 GET /dashboard
 HTTP  04/01/2025 12:36:30 172.20.10.3 Returned 200 in 95 ms
 HTTP  04/01/2025 12:36:30 172.20.10.3 GET /static/js/main.c8253d2d.js
 HTTP  04/01/2025 12:36:30 172.20.10.3 Returned 304 in 9 ms
 HTTP  04/01/2025 12:36:32 172.20.10.3 GET /static/css/main.698195d9.css
 HTTP  04/01/2025 12:36:32 172.20.10.3 Returned 200 in 13 ms
 HTTP  04/01/2025 12:36:32 172.20.10.3 GET /favicon.ico
 HTTP  04/01/2025 12:36:32 172.20.10.3 GET /logo192.png
 HTTP  04/01/2025 12:36:32 172.20.10.3 Returned 200 in 17 ms
 HTTP  04/01/2025 12:36:32 172.20.10.3 Returned 304 in 17 ms
